game_id;game_date;league_id;league_name;league_season;teams_home_id;teams_home_name;teams_away_id;teams_away_name;score_ht_home;score_ft_home;score_ht_away;score_ft_away
871495;2022-08-19 19:00:00+00:00;61;Ligue 1;2022;80;Lyon;110;Estac Troyes;1.0;4.0;1.0;1.0
871496;2022-08-20 19:00:00+00:00;61;Ligue 1;2022;81;Marseille;83;Nantes;0.0;2.0;0.0;1.0
871497;2022-08-21 11:00:00+00:00;61;Ligue 1;2022;95;Strasbourg;93;Reims;1.0;1.0;0.0;1.0
871498;2022-08-21 15:05:00+00:00;61;Ligue 1;2022;94;Rennes;98;Ajaccio;1.0;2.0;0.0;1.0
871499;2022-08-21 13:00:00+00:00;61;Ligue 1;2022;96;Toulouse;97;Lorient;1.0;2.0;1.0;2.0
871500;2022-08-26 19:00:00+00:00;61;Ligue 1;2022;98;Ajaccio;79;Lille;0.0;1.0;2.0;3.0
871501;2022-08-27 15:00:00+00:00;61;Ligue 1;2022;108;Auxerre;95;Strasbourg;1.0;1.0;0.0;0.0
871502;2022-08-28 13:00:00+00:00;61;Ligue 1;2022;97;Lorient;99;Clermont Foot;2.0;2.0;0.0;1.0
871503;2022-08-28 11:00:00+00:00;61;Ligue 1;2022;83;Nantes;96;Toulouse;0.0;3.0;1.0;1.0
871504;2022-08-28 13:00:00+00:00;61;Ligue 1;2022;84;Nice;81;Marseille;0.0;0.0;3.0;3.0
871505;2022-08-28 18:45:00+00:00;61;Ligue 1;2022;85;Paris Saint Germain;91;Monaco;0.0;1.0;1.0;1.0
871506;2022-08-27 19:00:00+00:00;61;Ligue 1;2022;116;Lens;94;Rennes;0.0;2.0;0.0;1.0
871507;2022-08-28 13:00:00+00:00;61;Ligue 1;2022;106;Stade Brestois 29;82;Montpellier;0.0;0.0;5.0;7.0
871508;2022-08-28 15:05:00+00:00;61;Ligue 1;2022;93;Reims;80;Lyon;1.0;1.0;0.0;1.0
871509;2022-08-28 13:00:00+00:00;61;Ligue 1;2022;110;Estac Troyes;77;Angers;1.0;3.0;0.0;1.0
871510;2022-08-31 17:00:00+00:00;61;Ligue 1;2022;91;Monaco;110;Estac Troyes;1.0;2.0;2.0;4.0
871511;2022-08-31 17:00:00+00:00;61;Ligue 1;2022;77;Angers;93;Reims;0.0;2.0;2.0;4.0
871512;2022-08-31 19:00:00+00:00;61;Ligue 1;2022;79;Lille;84;Nice;1.0;1.0;2.0;2.0
871513;2022-08-31 17:00:00+00:00;61;Ligue 1;2022;82;Montpellier;98;Ajaccio;1.0;2.0;0.0;0.0
871514;2022-08-31 17:00:00+00:00;61;Ligue 1;2022;80;Lyon;108;Auxerre;1.0;2.0;0.0;1.0
871515;2022-08-31 19:00:00+00:00;61;Ligue 1;2022;81;Marseille;99;Clermont Foot;0.0;1.0;0.0;0.0
871516;2022-08-31 19:00:00+00:00;61;Ligue 1;2022;116;Lens;97;Lorient;2.0;5.0;1.0;2.0
